,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,성동구,행당동,"  1,346 ",  64 ,  122 ,  137 ,  219 ,  276 ,  87 ,  438 ,  3 
서울특별시,성동구,홍익동,  296 ,  12 ,  8 ,  18 ,  73 ,  73 ,  10 ,  102 ,  - 
서울특별시,성북구,길음동,"  1,510 ",  77 ,  152 ,  42 ,  245 ,  122 ,  136 ,  565 ,  171 
서울특별시,성북구,돈암동,  880 ,  40 ,  66 ,  60 ,  56 ,  41 ,  67 ,  427 ,  123 
서울특별시,성북구,동선동1가,  135 ,  5 ,  1 ,  3 ,  9 ,  5 ,  18 ,  79 ,  15 
서울특별시,성북구,동선동2가,  254 ,  23 ,  27 ,  26 ,  71 ,  28 ,  3 ,  43 ,  33 
서울특별시,성북구,동선동3가,  244 ,  10 ,  22 ,  27 ,  64 ,  33 ,  5 ,  50 ,  33 
서울특별시,성북구,동선동4가,  251 ,  8 ,  12 ,  12 ,  68 ,  22 ,  13 ,  69 ,  47 
서울특별시,성북구,동선동5가,  231 ,  20 ,  12 ,  16 ,  39 ,  22 ,  13 ,  76 ,  33 
서울특별시,성북구,동소문동1가,  100 ,  7 ,  10 ,  10 ,  13 ,  8 ,  6 ,  28 ,  18 
서울특별시,성북구,동소문동2가,  166 ,  - ,  1 ,  1 ,  24 ,  2 ,  - ,  21 ,  117 
서울특별시,성북구,동소문동3가,  28 ,  - ,  1 ,  1 ,  3 ,  - ,  - ,  2 ,  21 
서울특별시,성북구,동소문동4가,  158 ,  10 ,  32 ,  25 ,  15 ,  6 ,  3 ,  20 ,  47 
서울특별시,성북구,동소문동5가,  61 ,  - ,  1 ,  1 ,  1 ,  2 ,  2 ,  24 ,  30 
서울특별시,성북구,동소문동6가,  170 ,  16 ,  6 ,  8 ,  44 ,  20 ,  6 ,  26 ,  44 
서울특별시,성북구,동소문동7가,  109 ,  9 ,  16 ,  2 ,  10 ,  4 ,  9 ,  45 ,  14 
서울특별시,성북구,보문동1가,  435 ,  2 ,  4 ,  7 ,  46 ,  14 ,  56 ,  136 ,  170 
서울특별시,성북구,보문동2가,  219 ,  11 ,  13 ,  16 ,  84 ,  12 ,  3 ,  55 ,  25 
서울특별시,성북구,보문동3가,  87 ,  7 ,  10 ,  2 ,  28 ,  2 ,  1 ,  19 ,  18 
서울특별시,성북구,보문동4가,  78 ,  2 ,  3 ,  1 ,  27 ,  5 ,  - ,  33 ,  7 
서울특별시,성북구,보문동5가,  200 ,  6 ,  11 ,  12 ,  101 ,  16 ,  2 ,  45 ,  7 
서울특별시,성북구,보문동6가,  356 ,  17 ,  27 ,  11 ,  111 ,  43 ,  3 ,  96 ,  48 
서울특별시,성북구,보문동7가,  105 ,  4 ,  5 ,  5 ,  25 ,  17 ,  4 ,  31 ,  14 
서울특별시,성북구,삼선동1가,  860 ,  15 ,  19 ,  37 ,  135 ,  107 ,  172 ,  274 ,  101 
서울특별시,성북구,삼선동2가,  473 ,  36 ,  14 ,  39 ,  108 ,  109 ,  40 ,  70 ,  57 
서울특별시,성북구,삼선동3가,  243 ,  22 ,  23 ,  20 ,  53 ,  20 ,  23 ,  69 ,  13 
서울특별시,성북구,삼선동4가,  192 ,  13 ,  7 ,  22 ,  49 ,  18 ,  5 ,  26 ,  52 
서울특별시,성북구,삼선동5가,  358 ,  22 ,  42 ,  53 ,  99 ,  38 ,  9 ,  25 ,  70 
서울특별시,성북구,상월곡동,  703 ,  16 ,  51 ,  16 ,  158 ,  101 ,  54 ,  293 ,  14 
서울특별시,성북구,석관동,"  3,444 ",  163 ,  118 ,  204 ,"  1,032 ",  317 ,  74 ,"  1,513 ",  23 
서울특별시,성북구,성북동,"  2,164 ",  111 ,  130 ,  101 ,  206 ,  155 ,  391 ,  777 ,  293 
서울특별시,성북구,성북동1가,  201 ,  14 ,  18 ,  16 ,  36 ,  12 ,  9 ,  58 ,  38 
서울특별시,성북구,안암동1가,  313 ,  24 ,  24 ,  11 ,  160 ,  39 ,  1 ,  7 ,  47 
서울특별시,성북구,안암동2가,  306 ,  22 ,  14 ,  19 ,  107 ,  29 ,  13 ,  28 ,  74 
서울특별시,성북구,안암동3가,  339 ,  4 ,  20 ,  15 ,  91 ,  30 ,  75 ,  39 ,  65 
서울특별시,성북구,안암동4가,  75 ,  2 ,  13 ,  7 ,  21 ,  6 ,  3 ,  5 ,  18 
서울특별시,성북구,안암동5가,  374 ,  16 ,  14 ,  41 ,  104 ,  36 ,  22 ,  70 ,  71 
서울특별시,성북구,장위동,"  6,808 ",  27 ,  314 ,  250 ,"  1,212 ",  850 ,  540 ,"  3,511 ",  104 
서울특별시,성북구,정릉동,"  5,129 ",  378 ,  314 ,  264 ,  567 ,  522 ,  819 ,"  2,088 ",  177 
서울특별시,성북구,종암동,"  1,693 ",  136 ,  144 ,  109 ,  361 ,  122 ,  212 ,  559 ,  50 
서울특별시,성북구,하월곡동,"  2,139 ",  123 ,  129 ,  111 ,  587 ,  169 ,  110 ,  846 ,  64 
서울특별시,송파구,가락동,"  1,618 ",  324 ,  217 ,  104 ,  134 ,  610 ,  117 ,  84 ,  28 
서울특별시,송파구,거여동,"  1,438 ",  62 ,  79 ,  120 ,  310 ,  596 ,  103 ,  124 ,  44 
서울특별시,송파구,마천동,"  2,580 ",  95 ,  245 ,  109 ,  484 ,  692 ,  634 ,  289 ,  32 
서울특별시,송파구,문정동,"  1,347 ",  212 ,  202 ,  64 ,  147 ,  698 ,  9 ,  7 ,  8 
서울특별시,송파구,방이동,"  1,695 ",  260 ,  403 ,  124 ,  198 ,  491 ,  207 ,  4 ,  8 
서울특별시,송파구,삼전동,"  1,639 ",  263 ,  578 ,  208 ,  304 ,  190 ,  86 ,  6 ,  4 
서울특별시,송파구,석촌동,"  1,680 ",  234 ,  574 ,  199 ,  228 ,  232 ,  179 ,  15 ,  19 
서울특별시,송파구,송파동,"  1,617 ",  286 ,  406 ,  153 ,  154 ,  340 ,  271 ,  5 ,  2 
서울특별시,송파구,신천동,  134 ,  68 ,  2 ,  - ,  2 ,  2 ,  5 ,  55 ,  - 
서울특별시,송파구,오금동,"  1,047 ",  151 ,  114 ,  46 ,  174 ,  490 ,  31 ,  18 ,  23 
서울특별시,송파구,잠실동,"  1,698 ",  363 ,  498 ,  178 ,  222 ,  227 ,  113 ,  84 ,  13 
서울특별시,송파구,장지동,  183 ,  135 ,  - ,  - ,  - ,  1 ,  1 ,  7 ,  39 
서울특별시,송파구,풍납동,"  2,057 ",  62 ,  143 ,  122 ,  520 ,  742 ,  177 ,  272 ,  19 
서울특별시,양천구,목동,"  4,257 ",  612 ,  532 ,  327 ,  741 ,  800 ,  618 ,  537 ,  90 
서울특별시,양천구,신월동,"  6,744 ",  544 ,  458 ,  263 ,"  1,035 ","  2,183 ",  876 ,"  1,303 ",  82 
서울특별시,양천구,신정동,"  5,074 ",  382 ,  572 ,  433 ,"  1,284 ","  1,161 ",  215 ,  833 ,  194 
서울특별시,영등포구,당산동,  488 ,  15 ,  26 ,  3 ,  7 ,  2 ,  1 ,  73 ,  361 
서울특별시,영등포구,당산동1가,  562 ,  30 ,  13 ,  17 ,  99 ,  123 ,  20 ,  127 ,  133 
서울특별시,영등포구,당산동2가,  121 ,  4 ,  1 ,  6 ,  56 ,  8 ,  12 ,  23 ,  11 
서울특별시,영등포구,당산동3가,  292 ,  17 ,  13 ,  8 ,  64 ,  60 ,  21 ,  71 ,  38 
서울특별시,영등포구,당산동4가,  213 ,  14 ,  15 ,  26 ,  20 ,  25 ,  66 ,  43 ,  4 
서울특별시,영등포구,당산동5가,  108 ,  1 ,  28 ,  12 ,  12 ,  - ,  15 ,  8 ,  32 
