습도,날짜,자치구
69.25,20150122,강동구
71.66666667,20150123,강동구
69.45833333,20150124,강동구
85.08333333,20150125,강동구
78.875,20150126,강동구
49.54166667,20150127,강동구
58.08333333,20150128,강동구
57.91666667,20150129,강동구
50.83333333,20150130,강동구
50.875,20150131,강동구
45.16666667,20150201,종로구
47.29166667,20150202,종로구
60.45833333,20150203,종로구
62.125,20150204,종로구
56.70833333,20150205,종로구
59.66666667,20150206,종로구
51.83333333,20150207,종로구
36.08333333,20150208,종로구
64.95833333,20150209,종로구
73.20833333,20150210,종로구
47.75,20150211,종로구
36.58333333,20150212,종로구
53.5,20150213,종로구
76.79166667,20150214,종로구
60.58333333,20150215,종로구
94.5,20150216,종로구
75.66666667,20150217,종로구
72.91666667,20150218,종로구
65.625,20150219,종로구
47.20833333,20150220,종로구
94.16666667,20150221,종로구
68.41666667,20150222,종로구
63.0,20150223,종로구
56.75,20150224,종로구
57.5,20150225,종로구
44.08333333,20150226,종로구
37.20833333,20150227,종로구
45.33333333,20150228,종로구
45.16666667,20150201,중구
47.29166667,20150202,중구
60.45833333,20150203,중구
62.125,20150204,중구
56.70833333,20150205,중구
59.66666667,20150206,중구
51.83333333,20150207,중구
36.08333333,20150208,중구
64.95833333,20150209,중구
73.20833333,20150210,중구
47.75,20150211,중구
36.58333333,20150212,중구
53.5,20150213,중구
76.79166667,20150214,중구
60.58333333,20150215,중구
94.5,20150216,중구
75.66666667,20150217,중구
72.91666667,20150218,중구
65.625,20150219,중구
47.20833333,20150220,중구
94.16666667,20150221,중구
68.41666667,20150222,중구
63.0,20150223,중구
56.75,20150224,중구
57.5,20150225,중구
44.08333333,20150226,중구
37.20833333,20150227,중구
45.33333333,20150228,중구
48.5,20150201,용산구
49.875,20150202,용산구
62.54166667,20150203,용산구
63.91666667,20150204,용산구
58.91666667,20150205,용산구
62.33333333,20150206,용산구
56.25,20150207,용산구
38.70833333,20150208,용산구
65.20833333,20150209,용산구
73.125,20150210,용산구
48.83333333,20150211,용산구
38.08333333,20150212,용산구
54.375,20150213,용산구
77.83333333,20150214,용산구
63.875,20150215,용산구
92.25,20150216,용산구
76.33333333,20150217,용산구
74.25,20150218,용산구
67.66666667,20150219,용산구
51.95833333,20150220,용산구
88.66666667,20150221,용산구
69.83333333,20150222,용산구
64.375,20150223,용산구
60.375,20150224,용산구
59.45833333,20150225,용산구
46.58333333,20150226,용산구
41.0,20150227,용산구
53.41666667,20150228,용산구
50.625,20150201,성동구
51.16666667,20150202,성동구
61.91666667,20150203,성동구
65.875,20150204,성동구
60.25,20150205,성동구
64.79166667,20150206,성동구
56.16666667,20150207,성동구
37.875,20150208,성동구
65.875,20150209,성동구
74.33333333,20150210,성동구
47.70833333,20150211,성동구
40.0,20150212,성동구
55.91666667,20150213,성동구
78.16666667,20150214,성동구
65.41666667,20150215,성동구
93.91666667,20150216,성동구
76.08333333,20150217,성동구
76.79166667,20150218,성동구
69.54166667,20150219,성동구
54.875,20150220,성동구
94.45833333,20150221,성동구
70.54166667,20150222,성동구
66.875,20150223,성동구
61.54166667,20150224,성동구
61.33333333,20150225,성동구
47.875,20150226,성동구
44.875,20150227,성동구
50.33333333,20150228,성동구
43.79166667,20150201,광진구
45.125,20150202,광진구
58.66666667,20150203,광진구
58.0,20150204,광진구
52.58333333,20150205,광진구
55.79166667,20150206,광진구
50.58333333,20150207,광진구
33.54166667,20150208,광진구
64.08333333,20150209,광진구
67.125,20150210,광진구
42.41666667,20150211,광진구
33.375,20150212,광진구
48.41666667,20150213,광진구
73.79166667,20150214,광진구
61.75,20150215,광진구
90.04166667,20150216,광진구
68.45833333,20150217,광진구
68.25,20150218,광진구
62.79166667,20150219,광진구
47.66666667,20150220,광진구
91.70833333,20150221,광진구
62.54166667,20150222,광진구
55.83333333,20150223,광진구
54.16666667,20150224,광진구
55.20833333,20150225,광진구
41.91666667,20150226,광진구
37.70833333,20150227,광진구
43.83333333,20150228,광진구
50.625,20150201,동대문구
51.16666667,20150202,동대문구
61.91666667,20150203,동대문구
65.875,20150204,동대문구
60.25,20150205,동대문구
64.79166667,20150206,동대문구
56.16666667,20150207,동대문구
37.875,20150208,동대문구
65.875,20150209,동대문구
74.33333333,20150210,동대문구
47.70833333,20150211,동대문구
40.0,20150212,동대문구
55.91666667,20150213,동대문구
78.16666667,20150214,동대문구
65.41666667,20150215,동대문구
93.91666667,20150216,동대문구
76.08333333,20150217,동대문구
76.79166667,20150218,동대문구
69.54166667,20150219,동대문구
54.875,20150220,동대문구
94.45833333,20150221,동대문구
70.54166667,20150222,동대문구
66.875,20150223,동대문구
61.54166667,20150224,동대문구
61.33333333,20150225,동대문구
47.875,20150226,동대문구
44.875,20150227,동대문구
50.33333333,20150228,동대문구
49.5,20150201,중랑구
50.375,20150202,중랑구
60.75,20150203,중랑구
65.0,20150204,중랑구
59.54166667,20150205,중랑구
63.70833333,20150206,중랑구
55.91666667,20150207,중랑구
36.66666667,20150208,중랑구
64.54166667,20150209,중랑구
72.95833333,20150210,중랑구
46.58333333,20150211,중랑구
39.33333333,20150212,중랑구
54.625,20150213,중랑구
77.45833333,20150214,중랑구
64.45833333,20150215,중랑구
92.375,20150216,중랑구
74.58333333,20150217,중랑구
76.04166667,20150218,중랑구
68.5,20150219,중랑구
53.29166667,20150220,중랑구
93.5,20150221,중랑구
68.95833333,20150222,중랑구
65.33333333,20150223,중랑구
59.83333333,20150224,중랑구
59.70833333,20150225,중랑구
46.83333333,20150226,중랑구
43.41666667,20150227,중랑구
49.83333333,20150228,중랑구
45.16666667,20150201,성북구
47.29166667,20150202,성북구
60.45833333,20150203,성북구
62.125,20150204,성북구
56.70833333,20150205,성북구
59.66666667,20150206,성북구
51.83333333,20150207,성북구
36.08333333,20150208,성북구
64.95833333,20150209,성북구
73.20833333,20150210,성북구
47.75,20150211,성북구
36.58333333,20150212,성북구
53.5,20150213,성북구
76.79166667,20150214,성북구
60.58333333,20150215,성북구
94.5,20150216,성북구
75.66666667,20150217,성북구
72.91666667,20150218,성북구
65.625,20150219,성북구
47.20833333,20150220,성북구
94.16666667,20150221,성북구
68.41666667,20150222,성북구
63.0,20150223,성북구
56.75,20150224,성북구
57.5,20150225,성북구
44.08333333,20150226,성북구
37.20833333,20150227,성북구
45.33333333,20150228,성북구
50.54166667,20150201,강북구
51.54166667,20150202,강북구
60.5,20150203,강북구
65.16666667,20150204,강북구
58.375,20150205,강북구
64.125,20150206,강북구
54.75,20150207,강북구
37.375,20150208,강북구
61.54166667,20150209,강북구
73.54166667,20150210,강북구
44.66666667,20150211,강북구
38.58333333,20150212,강북구
53.54166667,20150213,강북구
77.25,20150214,강북구
65.0,20150215,강북구
93.41666667,20150216,강북구
75.41666667,20150217,강북구
75.41666667,20150218,강북구
69.91666667,20150219,강북구
55.625,20150220,강북구
93.125,20150221,강북구
71.45833333,20150222,강북구
63.75,20150223,강북구
60.33333333,20150224,강북구
60.91666667,20150225,강북구
47.375,20150226,강북구
44.25,20150227,강북구
49.16666667,20150228,강북구
