,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,마포구,합정동,  439 ,  38 ,  49 ,  27 ,  50 ,  80 ,  47 ,  141 ,  7 
서울특별시,마포구,현석동,  15 ,  2 ,  1 ,  1 ,  6 ,  1 ,  - ,  3 ,  1 
서울특별시,서대문구,남가좌동,  544 ,  30 ,  10 ,  23 ,  45 ,  47 ,  40 ,  300 ,  49 
서울특별시,서대문구,냉천동,  84 ,  3 ,  2 ,  3 ,  2 ,  2 ,  4 ,  58 ,  10 
서울특별시,서대문구,대신동,  47 ,  4 ,  7 ,  3 ,  8 ,  4 ,  8 ,  12 ,  1 
서울특별시,서대문구,대현동,  347 ,  13 ,  9 ,  18 ,  46 ,  27 ,  59 ,  151 ,  24 
서울특별시,서대문구,미근동,  56 ,  4 ,  5 ,  - ,  4 ,  1 ,  4 ,  22 ,  16 
서울특별시,서대문구,봉원동,  7 ,  - ,  - ,  1 ,  3 ,  1 ,  1 ,  1 ,  - 
서울특별시,서대문구,북가좌동,  288 ,  28 ,  21 ,  8 ,  30 ,  33 ,  32 ,  134 ,  2 
서울특별시,서대문구,북아현동,  348 ,  6 ,  9 ,  6 ,  49 ,  48 ,  42 ,  159 ,  29 
서울특별시,서대문구,신촌동,  12 ,  3 ,  - ,  - ,  - ,  - ,  1 ,  6 ,  2 
서울특별시,서대문구,연희동,  629 ,  54 ,  37 ,  39 ,  73 ,  61 ,  76 ,  263 ,  26 
서울특별시,서대문구,영천동,  99 ,  1 ,  1 ,  - ,  9 ,  - ,  3 ,  55 ,  30 
서울특별시,서대문구,옥천동,  20 ,  2 ,  - ,  - ,  5 ,  - ,  - ,  10 ,  3 
서울특별시,서대문구,창천동,  609 ,  42 ,  32 ,  36 ,  130 ,  128 ,  60 ,  158 ,  23 
서울특별시,서대문구,천연동,  38 ,  3 ,  2 ,  1 ,  5 ,  5 ,  - ,  19 ,  3 
서울특별시,서대문구,충정로2가,  97 ,  2 ,  5 ,  3 ,  3 ,  11 ,  6 ,  53 ,  14 
서울특별시,서대문구,충정로3가,  130 ,  6 ,  4 ,  - ,  9 ,  6 ,  17 ,  69 ,  19 
서울특별시,서대문구,합동,  13 ,  - ,  4 ,  1 ,  - ,  - ,  - ,  8 ,  - 
서울특별시,서대문구,현저동,  70 ,  1 ,  1 ,  7 ,  1 ,  5 ,  2 ,  12 ,  41 
서울특별시,서대문구,홍은동,  540 ,  25 ,  27 ,  22 ,  111 ,  44 ,  77 ,  190 ,  44 
서울특별시,서대문구,홍제동,  552 ,  8 ,  17 ,  34 ,  64 ,  65 ,  78 ,  260 ,  26 
서울특별시,서초구,내곡동,  69 ,  11 ,  9 ,  9 ,  6 ,  1 ,  12 ,  19 ,  2 
서울특별시,서초구,반포동,  516 ,  55 ,  59 ,  26 ,  70 ,  118 ,  66 ,  117 ,  5 
서울특별시,서초구,방배동,"  1,433 ",  89 ,  157 ,  91 ,  176 ,  330 ,  260 ,  325 ,  5 
서울특별시,서초구,서초동,"  1,852 ",  161 ,  307 ,  134 ,  288 ,  596 ,  251 ,  111 ,  4 
서울특별시,서초구,신원동,  74 ,  17 ,  5 ,  4 ,  2 ,  1 ,  8 ,  33 ,  4 
서울특별시,서초구,양재동,"  1,221 ",  70 ,  108 ,  97 ,  241 ,  656 ,  29 ,  16 ,  4 
서울특별시,서초구,염곡동,  35 ,  8 ,  4 ,  4 ,  - ,  1 ,  2 ,  16 ,  - 
서울특별시,서초구,우면동,  88 ,  41 ,  2 ,  3 ,  21 ,  7 ,  1 ,  12 ,  1 
서울특별시,서초구,원지동,  45 ,  4 ,  8 ,  1 ,  4 ,  - ,  - ,  27 ,  1 
서울특별시,서초구,잠원동,  350 ,  25 ,  52 ,  25 ,  42 ,  104 ,  33 ,  65 ,  4 
서울특별시,성동구,금호동1가,  91 ,  1 ,  14 ,  4 ,  12 ,  12 ,  8 ,  40 ,  - 
서울특별시,성동구,금호동2가,  79 ,  5 ,  3 ,  3 ,  6 ,  14 ,  11 ,  37 ,  - 
서울특별시,성동구,금호동3가,  172 ,  2 ,  3 ,  5 ,  14 ,  14 ,  25 ,  109 ,  - 
서울특별시,성동구,금호동4가,  136 ,  4 ,  6 ,  4 ,  16 ,  18 ,  30 ,  57 ,  1 
서울특별시,성동구,도선동,  179 ,  18 ,  5 ,  6 ,  23 ,  36 ,  20 ,  66 ,  5 
서울특별시,성동구,마장동,  522 ,  23 ,  26 ,  20 ,  70 ,  93 ,  117 ,  170 ,  3 
서울특별시,성동구,사근동,  46 ,  4 ,  1 ,  2 ,  6 ,  11 ,  4 ,  18 ,  - 
서울특별시,성동구,상왕십리동,  20 ,  4 ,  1 ,  - ,  1 ,  - ,  2 ,  10 ,  2 
서울특별시,성동구,성수동1가,  572 ,  35 ,  39 ,  27 ,  64 ,  103 ,  93 ,  208 ,  3 
서울특별시,성동구,성수동2가,  930 ,  70 ,  42 ,  46 ,  58 ,  104 ,  112 ,  496 ,  2 
서울특별시,성동구,송정동,  132 ,  6 ,  3 ,  11 ,  15 ,  16 ,  25 ,  56 ,  - 
서울특별시,성동구,옥수동,  97 ,  9 ,  3 ,  5 ,  12 ,  20 ,  25 ,  23 ,  - 
서울특별시,성동구,용답동,  298 ,  19 ,  10 ,  13 ,  52 ,  60 ,  50 ,  93 ,  1 
서울특별시,성동구,응봉동,  37 ,  - ,  - ,  6 ,  3 ,  7 ,  6 ,  15 ,  - 
서울특별시,성동구,하왕십리동,  180 ,  14 ,  7 ,  10 ,  32 ,  32 ,  28 ,  57 ,  - 
서울특별시,성동구,행당동,  434 ,  30 ,  42 ,  55 ,  51 ,  57 ,  63 ,  132 ,  4 
서울특별시,성동구,홍익동,  152 ,  3 ,  3 ,  12 ,  23 ,  34 ,  20 ,  57 ,  - 
서울특별시,성북구,길음동,  283 ,  9 ,  13 ,  10 ,  21 ,  28 ,  32 ,  139 ,  31 
서울특별시,성북구,돈암동,  82 ,  6 ,  13 ,  13 ,  10 ,  5 ,  5 ,  25 ,  5 
서울특별시,성북구,동선동1가,  213 ,  13 ,  9 ,  9 ,  22 ,  24 ,  43 ,  81 ,  12 
서울특별시,성북구,동선동2가,  105 ,  23 ,  12 ,  4 ,  14 ,  8 ,  7 ,  14 ,  23 
서울특별시,성북구,동선동3가,  86 ,  21 ,  14 ,  7 ,  9 ,  7 ,  8 ,  18 ,  2 
서울특별시,성북구,동선동4가,  97 ,  25 ,  3 ,  5 ,  6 ,  7 ,  7 ,  27 ,  17 
서울특별시,성북구,동선동5가,  49 ,  5 ,  14 ,  7 ,  6 ,  4 ,  3 ,  8 ,  2 
서울특별시,성북구,동소문동1가,  60 ,  2 ,  2 ,  2 ,  13 ,  7 ,  3 ,  12 ,  19 
서울특별시,성북구,동소문동2가,  91 ,  - ,  1 ,  - ,  14 ,  1 ,  5 ,  32 ,  38 
서울특별시,성북구,동소문동3가,  38 ,  1 ,  3 ,  4 ,  7 ,  3 ,  3 ,  5 ,  12 
서울특별시,성북구,동소문동4가,  59 ,  11 ,  5 ,  4 ,  12 ,  4 ,  3 ,  8 ,  12 
서울특별시,성북구,동소문동5가,  70 ,  1 ,  2 ,  3 ,  1 ,  8 ,  9 ,  21 ,  25 
서울특별시,성북구,동소문동6가,  50 ,  8 ,  9 ,  1 ,  5 ,  8 ,  5 ,  9 ,  5 
서울특별시,성북구,동소문동7가,  39 ,  2 ,  2 ,  6 ,  2 ,  1 ,  6 ,  14 ,  6 
서울특별시,성북구,보문동1가,  83 ,  3 ,  3 ,  3 ,  4 ,  8 ,  8 ,  32 ,  22 
서울특별시,성북구,보문동2가,  80 ,  12 ,  7 ,  10 ,  11 ,  3 ,  6 ,  27 ,  4 
서울특별시,성북구,보문동3가,  8 ,  2 ,  1 ,  - ,  - ,  - ,  1 ,  3 ,  1 
서울특별시,성북구,보문동4가,  38 ,  5 ,  1 ,  - ,  8 ,  4 ,  3 ,  15 ,  2 
서울특별시,성북구,보문동5가,  57 ,  10 ,  1 ,  5 ,  11 ,  10 ,  4 ,  12 ,  4 
서울특별시,성북구,보문동6가,  37 ,  7 ,  - ,  - ,  8 ,  6 ,  6 ,  7 ,  3 
서울특별시,성북구,보문동7가,  66 ,  9 ,  7 ,  1 ,  10 ,  10 ,  10 ,  17 ,  2 
서울특별시,성북구,삼선동1가,  66 ,  6 ,  1 ,  1 ,  5 ,  10 ,  12 ,  27 ,  4 
서울특별시,성북구,삼선동2가,  79 ,  9 ,  4 ,  2 ,  15 ,  17 ,  10 ,  13 ,  9 
서울특별시,성북구,삼선동3가,  26 ,  4 ,  - ,  3 ,  3 ,  3 ,  1 ,  11 ,  1 
서울특별시,성북구,삼선동4가,  85 ,  29 ,  6 ,  6 ,  9 ,  8 ,  3 ,  15 ,  9 
서울특별시,성북구,삼선동5가,  88 ,  22 ,  5 ,  7 ,  7 ,  11 ,  11 ,  6 ,  19 
서울특별시,성북구,상월곡동,  116 ,  4 ,  12 ,  6 ,  12 ,  28 ,  20 ,  33 ,  1 
서울특별시,성북구,석관동,  409 ,  26 ,  26 ,  33 ,  60 ,  52 ,  36 ,  170 ,  6 
서울특별시,성북구,성북동,  238 ,  15 ,  11 ,  17 ,  26 ,  13 ,  22 ,  88 ,  46 
서울특별시,성북구,성북동1가,  58 ,  16 ,  7 ,  2 ,  4 ,  7 ,  5 ,  11 ,  6 
서울특별시,성북구,안암동1가,  50 ,  17 ,  4 ,  2 ,  6 ,  13 ,  1 ,  2 ,  5 
서울특별시,성북구,안암동2가,  60 ,  20 ,  11 ,  12 ,  2 ,  6 ,  1 ,  3 ,  5 
서울특별시,성북구,안암동3가,  38 ,  9 ,  6 ,  4 ,  4 ,  3 ,  4 ,  1 ,  7 
서울특별시,성북구,안암동4가,  40 ,  11 ,  3 ,  4 ,  6 ,  3 ,  10 ,  3 ,  - 
서울특별시,성북구,안암동5가,  247 ,  31 ,  33 ,  36 ,  37 ,  39 ,  26 ,  25 ,  20 
서울특별시,성북구,장위동,  848 ,  3 ,  27 ,  30 ,  92 ,  137 ,  180 ,  371 ,  8 
서울특별시,성북구,정릉동,  807 ,  80 ,  91 ,  41 ,  75 ,  79 ,  83 ,  325 ,  33 
서울특별시,성북구,종암동,  533 ,  56 ,  82 ,  39 ,  37 ,  31 ,  62 ,  219 ,  7 
서울특별시,성북구,하월곡동,  570 ,  43 ,  51 ,  27 ,  66 ,  80 ,  107 ,  160 ,  36 
서울특별시,송파구,가락동,  686 ,  38 ,  85 ,  48 ,  114 ,  326 ,  56 ,  18 ,  1 
서울특별시,송파구,거여동,  302 ,  14 ,  20 ,  25 ,  58 ,  100 ,  51 ,  34 ,  - 
서울특별시,송파구,마천동,  352 ,  9 ,  13 ,  21 ,  55 ,  80 ,  77 ,  97 ,  - 
서울특별시,송파구,문정동,  421 ,  47 ,  44 ,  23 ,  77 ,  202 ,  25 ,  1 ,  2 
서울특별시,송파구,방이동,  682 ,  46 ,  73 ,  51 ,  111 ,  239 ,  141 ,  15 ,  6 
서울특별시,송파구,삼전동,  242 ,  21 ,  27 ,  3 ,  48 ,  73 ,  49 ,  21 ,  - 
서울특별시,송파구,석촌동,  408 ,  22 ,  35 ,  17 ,  56 ,  113 ,  130 ,  33 ,  2 
서울특별시,송파구,송파동,  395 ,  16 ,  31 ,  12 ,  50 ,  122 ,  144 ,  19 ,  1 
서울특별시,송파구,신천동,  39 ,  10 ,  2 ,  - ,  10 ,  3 ,  3 ,  10 ,  1 
서울특별시,송파구,오금동,  373 ,  20 ,  32 ,  29 ,  68 ,  194 ,  25 ,  5 ,  - 
서울특별시,송파구,잠실동,  532 ,  31 ,  51 ,  38 ,  78 ,  129 ,  115 ,  88 ,  2 
서울특별시,송파구,장지동,  84 ,  56 ,  9 ,  5 ,  5 ,  2 ,  2 ,  1 ,  4 
서울특별시,송파구,풍납동,  278 ,  11 ,  16 ,  25 ,  58 ,  60 ,  44 ,  64 ,  - 
서울특별시,양천구,목동,  797 ,  67 ,  92 ,  49 ,  133 ,  149 ,  103 ,  192 ,  12 
서울특별시,양천구,신월동,"  1,157 ",  60 ,  63 ,  55 ,  164 ,  344 ,  250 ,  213 ,  8 
서울특별시,양천구,신정동,"  1,109 ",  88 ,  116 ,  141 ,  227 ,  202 ,  118 ,  209 ,  8 
